Вопрос №1 Какой из этих предметов является инструментом симфонического оркестра?
1. Ножи
2. Вилки
3. Тарелки
4. Стаканы
Ответ: 3
Вопрос №2 Какого из этих стилей музыки не существует?
1. Дум
2. Блэк
3. Пилон
4. Джангл
Ответ: 3
Вопрос №3 Прием игры на гитаре, при котором палец одновременно зажимает все струны?
1. Диез
2. Бемоль
3. Мажор
4. Баррэ
Ответ: 4
Вопрос №4 Какой из этих музыкальных инструментов не является смычковым?
1. Альт
2. Набат
3. Жига
4. Кобыз
Ответ: 2
Вопрос №5 Какой из этих темпов в музыке - самый быстрый?
1. Престо
2. Виво
3. Анимато
4. Аллегро
Ответ: 1
